Reserve,Type,Date,SiteID,PlotID,Lat,Long,Distance,Orthometric Height,MLLW,Species,Cover,Maximum Canopy Height
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
